,distributorId,originalDistributorId
0,1,1.0
1,1,1.0
2,1,1.0
3,2,2.0
4,2,2.0
5,3,3.0
6,4,4.0
7,5,5.0
8,5,5.0
9,6,6.0
10,6,6.0
11,7,1.0
12,7,7.0
13,12,12.0
14,13,13.0
15,1,1.0
16,2,2.0
17,18,18.0
18,18,18.0
19,7,7.0
20,5,5.0
21,5,5.0
22,1,1.0
23,1,1.0
24,1,1.0
25,1,1.0
26,13,13.0
27,13,13.0
28,6,6.0
29,12,12.0
30,9,9.0
31,10,10.0
32,1,1.0
33,24,24.0
34,12,12.0
35,8,8.0
36,3,3.0
37,6,6.0
38,5,5.0
39,5,5.0
40,5,5.0
41,5,5.0
42,1,1.0
43,4,4.0
44,1,1.0
45,1,1.0
46,1,1.0
47,1,1.0
48,1,1.0
49,2,2.0
50,3,3.0
51,4,4.0
52,5,5.0
53,6,6.0
54,13,13.0
55,10,10.0
56,1,1.0
57,1,1.0
58,1,1.0
59,15,15.0
60,5,5.0
61,1,1.0
62,1,1.0
63,1,1.0
64,1,1.0
65,1,1.0
66,1,1.0
67,1,1.0
68,1,1.0
69,1,1.0
70,1,1.0
71,1,1.0
72,4,4.0
73,3,3.0
74,6,6.0
75,6,6.0
76,6,6.0
77,2,2.0
78,10,10.0
79,1,1.0
80,1,1.0
81,1,1.0
82,12,12.0
83,10,10.0
84,5,5.0
85,1,1.0
86,1,1.0
87,1,1.0
88,1,1.0
89,1,1.0
90,1,1.0
91,6,6.0
92,10,10.0
93,8,8.0
94,11,11.0
95,12,12.0
96,12,12.0
97,10,10.0
98,3,3.0
99,7,7.0
100,5,5.0
101,1,1.0
102,20,20.0
103,4,4.0
104,5,5.0
105,5,5.0
106,5,5.0
107,5,5.0
108,1,1.0
109,1,1.0
110,1,1.0
111,1,1.0
112,1,1.0
113,24,24.0
114,18,18.0
115,6,6.0
116,13,13.0
117,13,13.0
118,10,10.0
119,5,5.0
120,5,5.0
121,5,5.0
122,1,1.0
123,1,1.0
124,6,6.0
125,4,4.0
126,1,1.0
127,1,1.0
128,1,1.0
129,1,1.0
130,1,1.0
131,2,2.0
132,3,3.0
133,3,3.0
134,4,4.0
135,4,4.0
136,6,6.0
137,6,6.0
138,6,6.0
139,8,8.0
140,12,12.0
141,12,12.0
142,10,10.0
143,1,1.0
144,13,13.0
145,13,13.0
146,13,13.0
147,7,7.0
148,5,5.0
149,5,5.0
150,5,5.0
151,4,4.0
152,1,1.0
153,1,1.0
154,1,1.0
155,1,1.0
156,1,1.0
157,13,13.0
158,20,20.0
159,5,5.0
160,6,6.0
161,12,12.0
162,1,1.0
163,1,1.0
164,1,1.0
165,1,1.0
166,4,4.0
167,6,6.0
168,3,3.0
169,13,13.0
170,9,9.0
171,10,10.0
172,5,5.0
173,5,5.0
174,5,5.0
175,1,1.0
176,1,1.0
177,4,4.0
178,2,2.0
179,1,1.0
180,1,1.0
181,1,1.0
182,1,1.0
183,2,2.0
184,2,2.0
185,3,3.0
186,4,4.0
187,4,4.0
188,6,6.0
189,8,8.0
190,8,8.0
191,1,1.0
192,1,1.0
193,1,1.0
194,17,17.0
195,5,5.0
196,6,6.0
197,1,1.0
198,1,1.0
199,1,1.0
200,1,1.0
201,20,20.0
202,5,5.0
203,6,6.0
204,6,6.0
205,12,12.0
206,1,1.0
207,7,7.0
208,6,6.0
209,2,2.0
210,5,5.0
211,1,1.0
212,6,6.0
213,6,6.0
214,1,1.0
215,1,1.0
216,1,1.0
217,1,1.0
218,1,1.0
219,1,1.0
220,1,1.0
221,5,5.0
222,6,6.0
223,6,6.0
224,6,6.0
225,7,7.0
226,10,10.0
227,10,10.0
228,12,12.0
229,12,12.0
230,10,10.0
231,1,1.0
232,1,1.0
233,18,18.0
234,1,1.0
235,1,1.0
236,1,1.0
237,8,8.0
238,5,5.0
239,5,5.0
240,2,2.0
241,1,1.0
242,1,1.0
243,1,1.0
244,1,1.0
