,hubCode,distributorId
0,a,1
1,a,1
2,a,1
3,a,2
4,a,2
5,a,3
6,a,4
7,a,5
8,a,5
9,a,6
10,a,6
11,a,7
12,a,7
13,b,12
14,b,13
15,a,1
16,a,2
17,a,18
18,a,18
19,a,7
20,a,5
21,a,5
22,a,1
23,a,1
24,a,1
25,a,1
26,b,13
27,b,13
28,a,6
29,b,12
30,b,9
31,b,10
32,a,1
33,b,24
34,b,12
35,b,8
36,a,3
37,a,6
38,a,5
39,a,5
40,a,5
41,a,5
42,a,1
43,a,4
44,a,1
45,a,1
46,a,1
47,a,1
48,a,1
49,a,2
50,a,3
51,a,4
52,a,5
53,a,6
54,b,13
55,b,10
56,a,1
57,a,1
58,a,1
59,a,15
60,a,5
61,a,1
62,a,1
63,a,1
64,a,1
65,a,1
66,a,1
67,a,1
68,a,1
69,a,1
70,a,1
71,a,1
72,a,4
73,a,3
74,a,6
75,a,6
76,a,6
77,a,2
78,b,10
79,a,1
80,a,1
81,a,1
82,b,12
83,b,10
84,a,5
85,a,1
86,a,1
87,a,1
88,a,1
89,a,1
90,a,1
91,a,6
92,b,10
93,b,8
94,b,11
95,b,12
96,b,12
97,b,10
98,a,3
99,a,7
100,a,5
101,a,1
102,b,20
103,a,4
104,a,5
105,a,5
106,a,5
107,a,5
108,a,1
109,a,1
110,a,1
111,a,1
112,a,1
113,b,24
114,a,18
115,a,6
116,b,13
117,b,13
118,b,10
119,a,5
120,a,5
121,a,5
122,a,1
123,a,1
124,a,6
125,a,4
126,a,1
127,a,1
128,a,1
129,a,1
130,a,1
131,a,2
132,a,3
133,a,3
134,a,4
135,a,4
136,a,6
137,a,6
138,a,6
139,b,8
140,b,12
141,b,12
142,b,10
143,a,1
144,b,13
145,b,13
146,b,13
147,a,7
148,a,5
149,a,5
150,a,5
151,a,4
152,a,1
153,a,1
154,a,1
155,a,1
156,a,1
157,b,13
158,b,20
159,a,5
160,a,6
161,b,12
162,a,1
163,a,1
164,a,1
165,a,1
166,a,4
167,a,6
168,a,3
169,b,13
170,b,9
171,b,10
172,a,5
173,a,5
174,a,5
175,a,1
176,a,1
177,a,4
178,a,2
179,a,1
180,a,1
181,a,1
182,a,1
183,a,2
184,a,2
185,a,3
186,a,4
187,a,4
188,a,6
189,b,8
190,b,8
191,a,1
192,a,1
193,a,1
194,a,17
195,a,5
196,a,6
197,a,1
198,a,1
199,a,1
200,a,1
201,b,20
202,a,5
203,a,6
204,a,6
205,b,12
206,a,1
207,a,7
208,a,6
209,a,2
210,a,5
211,a,1
212,a,6
213,a,6
214,a,1
215,a,1
216,a,1
217,a,1
218,a,1
219,a,1
220,a,1
221,a,5
222,a,6
223,a,6
224,a,6
225,a,7
226,b,10
227,b,10
228,b,12
229,b,12
230,b,10
231,a,1
232,a,1
233,a,18
234,a,1
235,a,1
236,a,1
237,b,8
238,a,5
239,a,5
240,a,2
241,a,1
242,a,1
243,a,1
244,a,1
245,b,24
246,a,4
247,a,6
248,a,3
249,b,13
250,b,10
251,a,5
252,a,5
253,a,5
254,a,5
255,a,5
256,a,1
257,a,1
258,a,1
259,a,1
260,a,1
261,a,1
262,a,1
263,a,3
264,a,4
265,a,7
266,b,11
267,b,12
268,b,12
269,b,10
270,b,10
271,a,1
272,a,2
273,a,2
274,a,7
275,a,5
276,a,5
277,a,4
278,a,6
279,a,1
280,a,1
281,a,1
282,a,1
283,a,1
284,a,5
285,a,6
286,a,2
287,a,2
288,b,10
289,a,1
290,a,1
291,a,1
292,a,1
293,a,1
294,a,6
295,a,3
296,b,10
297,b,10
298,a,5
299,a,5
300,a,5
301,a,5
302,a,5
303,a,2
304,a,1
305,a,1
306,a,1
307,a,1
308,a,1
309,a,2
310,a,4
311,a,5
312,a,6
313,a,6
314,a,6
315,b,12
316,b,12
317,b,10
318,a,1
319,a,1
320,a,16
321,a,3
322,a,3
323,a,17
324,a,18
325,a,19
326,a,4
327,a,6
328,a,1
329,a,1
330,a,1
331,a,1
332,b,11
333,a,3
334,a,4
335,b,8
336,a,5
337,b,12
338,b,12
339,b,9
340,a,1
341,a,1
342,a,1
343,a,1
344,a,1
345,a,6
346,b,12
347,a,2
348,b,9
